id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28004019,Beautiful Apt next to Kallimarmaro & Athens Center,211503483,Eleutheria,,ΠΑΓΚΡΑΤΙ,37.96752,23.75249,Entire home/apt,40,2,10,2019-03-13,1.38,1,349
28005249,Spacious and cozy appartment in the center.,194313902,Γιάννη,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99238,23.73025,Entire home/apt,45,1,2,2018-09-23,0.28,1,300
28006329,Lycabettus-Kolonaki  Eclectic Apartment,211519782,Christos,,ΛΥΚΑΒΗΤΤΟΣ,37.98231,23.74472,Entire home/apt,55,2,9,2019-01-12,1.33,1,166
28007322,Elegant designed Apt with Mountain view in Pagrati,211530216,Katerina,,ΠΑΓΚΡΑΤΙ,37.97273,23.74821,Entire home/apt,59,2,2,2018-11-02,0.30,1,218
28010994,Giannis flat,211559803,Giannhs,,ΚΕΡΑΜΕΙΚΟΣ,37.97983,23.72156,Entire home/apt,100,1,0,,,1,0
28018216,New stylish apartment under Acropolis,6691549,Rotem,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96735,23.72615,Entire home/apt,33,2,5,2018-11-11,0.72,2,31
28018235,Standard Δίκλινο Δωμάτιο,211623825,George,,ΣΤΑΔΙΟ,37.97023,23.74202,Private room,65,1,0,,,5,365
28021089,Athens Ibis Style Apartment Archaelogical Museum,149379939,Isidora,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98692,23.7288,Entire home/apt,30,2,1,2018-09-08,0.14,2,133
28021785,Traveller's cozy appartment,102768856,Marianna,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.02516,23.73046,Entire home/apt,35,1,2,2018-11-23,0.33,1,317
28023458,Whole aprtmnt next to Megaro and American embassy!,94476793,Anna,,ΓΟΥΔΙ,37.9803,23.75736,Entire home/apt,62,1,2,2018-11-18,0.29,3,224
28025183,Art Pantheon Suite 1 in Plaka by JJ Hospitality,55670751,Jj,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97276,23.732,Entire home/apt,73,1,3,2018-12-10,0.43,42,280
28025202,Luxurious art apartment AR2,211498337,Rachel,,ΑΚΡΟΠΟΛΗ,37.9734,23.71791,Entire home/apt,90,2,0,,,2,27
28027027,Διαμέρισμα με υπέροχη θέα κοντά στο Λυκαβητό,187777669,Martha,,ΓΚΥΖΗ,37.99088,23.7507,Entire home/apt,25,2,9,2018-12-17,1.23,1,301
28027599,Voted best apt in Athens center near Acropolis vl2,76985550,Panagiotis,,ΘΗΣΕΙΟ,37.97527,23.71759,Entire home/apt,62,1,29,2019-04-08,3.95,2,276
28029546,Art Pantheon Suite 3 in Plaka by JJ Hospitality,55670751,Jj,,ΖΑΠΠΕΙΟ,37.97125,23.7333,Entire home/apt,124,1,4,2019-03-18,0.60,42,291
28029816,"Art Pantheon Suite Two in Plaka, Athens",55670751,Jj,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9726,23.73184,Entire home/apt,73,1,7,2019-04-08,0.99,42,279
28030168,Apartment in the center of Athens.,211105162,Victor,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.0011,23.72076,Entire home/apt,20,1,25,2019-03-24,3.33,1,34
28033931,Exclusive Apartment 9min from metro.,211752896,Ted,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98741,23.72726,Entire home/apt,30,1,24,2019-03-31,3.32,2,167
28036881,room1,211781766,Rene,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98346,23.72697,Private room,50,50,0,,,1,89
28039277,"Διαμέρισμα Σε Athina, SYGGROU/FIX",211792412,Giorgos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96053,23.72918,Entire home/apt,28,1,0,,,1,65
28040174,Exarcheia comfy,211664682,Fragkiski,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98902,23.73369,Entire home/apt,30,2,10,2019-04-07,1.36,1,355
28041489,Trevlig lägenhet med 2 sovrum centralt i Aten,200305637,Litsa,,ΑΝΩ ΠΑΤΗΣΙΑ,38.02312,23.73802,Entire home/apt,50,3,8,2019-04-03,1.19,1,110
28041804,Treasure room in the hart of Acropolis- Plaka,211814501,Eirini/Ioanna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97488,23.7289,Private room,39,1,1,2018-09-27,0.15,1,356
28042027,Complex of Residences & Pool in the heart of city,206838334,Maria,,ΚΕΡΑΜΕΙΚΟΣ,37.97912,23.72249,Entire home/apt,810,1,1,2019-03-27,1,5,351
28051033,Athens deluxe apartment 1250m from the Acropolis,211364049,Dinos,,ΠΕΤΡΑΛΩΝΑ,37.96954,23.70937,Entire home/apt,60,2,11,2019-01-27,2.01,1,294
